anime,studio
3900,1512
4068,60
2574,103
5891,18
12481,398
4119,14
9561,432
19825,14
2545,86
7395,22
30751,330
34905,473
1713,136
2487,196
3194,358
18845,247
34927,37
3676,196
1666,18
6472,86
3176,196
4113,18
2815,358
37324,28
4439,103
8123,191
19877,14
4044,1512
4586,39
15795,118
3935,4
7793,18
8216,154
3460,22
3098,14
3432,14
1897,14
37611,27
8815,1133
5052,22
1936,37
6262,11
7048,14
5203,18
15545,290
4800,1009
4199,18
17707,276
9799,247
12483,398
39277,28
1986,18
4211,110
2769,11
7522,18
3875,18
1740,80
36728,856
28595,1231
9013,37
4515,22
32670,1258
23897,95
3550,1
5618,65
3810,103
6947,249
38549,1927
2740,28
4411,18
8960,276
3765,22
29722,866
2382,80
3075,103
3827,22
4023,4
31539,432
6636,72
2980,18
3434,22
2282,200
17969,18
2700,27
11835,1768
10346,18
3806,390
22381,1099
5476,200
32582,101
5311,18
3425,22
3151,1025
4615,22
6277,86
4929,37
15905,1768
6900,1231
4742,37
11841,1768
4427,18
1872,27
2702,27
3435,22
3877,315
29687,473
8215,36
4132,18
1975,154
33933,276
30386,10
2758,14
6571,6
3881,18
307,103
3317,22
4807,14
6075,6
8140,103
3129,435
3691,65
12951,37
8890,37
12361,523
35516,276
3132,22
5395,14
6087,18
9916,11
5235,73
3936,103
37484,101
23409,473
2824,1
2707,30
5375,207
4554,1
3573,83
4536,14
34979,397
17353,432
3932,18
3315,14
6067,1
6093,1
8436,103
3114,1
41401,1927
4242,281
2916,14
7479,73
28401,276
5071,28
8409,18
11307,191
10459,276
37151,11
3355,136
6428,452
2814,358
10554,22
3022,18
4183,18
4083,68
28921,1023
4737,276
2805,73
1892,86
3514,73
5249,200
6798,28
8194,18
2075,191
6672,18
3947,65
31410,276
8375,22
2749,22
5908,2
34741,28
8553,103
3969,18
3879,315
3768,191
8011,103
7106,103
3290,10
39039,101
10540,276
39572,2048
10224,18
1333,22
24417,37
37328,37
4101,126
41807,2063
3838,18
6625,18
3361,191
2503,22
3825,22
3839,18
18365,1947
34502,330
3776,191
3130,247
3637,60
2366,7
6674,73
4616,22
9613,65
5829,22
3876,18
27721,28
4049,175
10250,247
5022,103
4013,103
5628,247
6970,18
6889,103
3823,22
8158,18
23901,95
40758,1314
12393,191
17211,103
6077,103
6311,18
5475,103
5344,103
15749,432
8189,374
19755,290
3870,18
3020,18
5935,11
4088,68
3844,18
3808,281
3433,18
27621,276
9978,14
39007,432
2687,68
34410,2140
34292,64
4331,474
10562,18
7245,18
5278,207
1139,86
13307,18
42657,276
6658,432
4614,18
9810,14
5809,73
4054,39
5088,154
3885,406
2822,358
5534,191
3131,390
4574,14
10847,400
33044,276
34309,276
3630,18
5474,103
37467,432
6629,18
7960,60
13769,18
17092,228
12039,39
10525,118
7247,1947
4782,22
3822,22
27757,73
19959,363
3436,22
4504,65
37368,397
1739,1726
6448,191
9438,18
8139,103
30851,276
8130,65
33430,1292
2741,28
9905,191
25965,1181
5287,103
6397,103
3845,18
15579,110
27687,290
3909,18
32944,432
28247,276
19305,276
37787,1871
35025,7
1547,247
10349,466
5600,22
8213,191
2226,22
5833,103
8240,14
10802,276
7551,103
24793,432
34669,2140
6868,68
41470,856
9520,14
12139,68
18635,18
4905,103
32596,28
11521,406
42145,1314
3683,103
22465,593
40983,22
8853,14
32663,432
3834,435
37968,28
3975,18
19961,1
30989,432
5018,13
10607,1
25967,1181
8829,312
9391,14
4709,14
10541,276
23555,432
8900,27
32568,73
9781,18
39031,1229
36894,330
8763,65
8891,37
6989,103
30777,276
8220,81
6822,22
35656,18
40045,30
32999,1266
1863,28
8786,103
23107,28
34456,13
8065,1
35302,1320
31747,290
11873,103
2738,28
6481,406
7175,276
15865,28
32876,37
31699,1005
6981,37
24845,1077
19843,28
19947,22
6195,22
9061,36
10360,1
18227,196
3846,18
8764,1
3769,191
24403,432
13551,41
37559,276
11545,247
12243,247
31071,276
30411,432
34156,276
19681,18
6482,406
13431,276
40040,1973
9175,11
17521,18
5886,242
30232,28
8799,103
9028,1
3869,22
5477,60
8353,18
34129,1706
12897,18
16303,1
2809,103
8183,103
5821,56
3251,18
11533,452
39003,1077
21433,22
22313,18
24663,247
22503,37
12887,191
6583,18
2742,28
33473,1489
39040,28
29846,1231
10797,276
34852,10
10210,65
18241,276
30144,276
34928,866
27589,1290
2735,14
22441,406
3180,22
30410,228
10815,191
6261,22
12767,191
19585,191
40423,276
20115,18
32402,432
19505,18
9522,14
22541,276
31555,1290
34510,471
16393,1
15915,1
7750,1662
20117,191
22439,406
22821,276
10889,65
9906,452
20027,247
37359,10
20223,18
35957,432
8832,312
37560,765
37369,1320
37117,18
21447,22
19445,191
5841,37
23511,866
6701,191
5473,18
17423,18
20075,247
10539,276
17893,228
3937,1
19831,1
30470,276
9383,65
27521,1229
4598,103
38147,1861
15913,18
38365,1324
9371,22
8191,1522
8478,37
4684,73
23013,191
34891,1077
17687,18
11609,276
22247,18
9455,247
10987,101
8195,1
30028,18
33290,1229
31361,432
9885,18
39918,2040
33835,95
36552,28
10965,14
8345,22
30417,276
16650,247
30893,196
20087,118
30892,276
9426,73
19995,18
20083,103
15873,18
18191,894
25503,1197
10887,452
13455,593
12391,18
13463,432
20755,866
5184,18
7639,37
20127,18
30342,406
20243,247
23829,6
20125,18
8685,191
21549,44
34488,1286
20001,18
17601,1
22755,276
19087,103
31562,432
10709,452
21539,103
7211,73
34233,73
9811,22
9812,86
38016,1797
20201,11
11421,191
9562,103
20077,191
4547,18
12771,246
20009,191
33085,432
27723,28
19547,228
34511,471
17613,22
19873,1
33002,276
8244,474
32842,276
10633,276
13457,593
31019,432
35963,95
11203,93
16908,432
39679,1807
38363,1947
12809,81
25809,890
33727,432
17624,1435
13167,1025
5594,22
31753,866
33188,276
22999,68
10995,432
26163,866
33739,343
18939,229
8520,247
29099,37
22585,432
37054,13
35914,276
15957,103
37978,28
13165,1025
14623,36
29738,103
10855,474
8521,247
20081,191
2930,10
20147,14
34235,73
3073,56
9533,73
2701,27
33262,432
18983,235
29361,432
17487,101
2708,30
19965,22
31237,95
11497,22
12781,247
24775,432
31640,1197
30875,37
33099,37
11197,37
23973,247
27681,247
33310,452
23015,14
41349,866
38008,207
17315,247
34234,73
25609,1023
27369,36
34794,73
33300,390
17599,18
37225,2075
41686,7
21485,103
34841,18
34490,463
30602,866
36486,472
25611,1023
12185,73
28089,247
34207,1063
25615,1023
35295,37
24465,18
33753,343
33123,850
21019,228
35817,8
36611,432
43684,2158
34831,18
36551,472
21981,432
37428,1838
30409,229
37244,1286
31464,276
36003,444
35385,73
24797,432
36881,276
40832,276
39628,472
40092,2075
41115,370
40091,2075
38571,276
40953,126
38569,276
38568,276
38570,276
41776,18
41114,276
41777,18
41778,18
42146,2046
42740,1939
42468,1939
42033,2046
42144,2046
42979,1939
33431,1292
42765,2140
42766,2140
