anime,studio
21353,27
5940,32
22865,300
3655,7
12431,56
10460,7
34012,300
195,39
19315,37
4789,44
14811,95
36266,1669
4087,32
39988,443
15,36
15699,27
19703,18
322,11
1690,3
23079,132
16668,14
31710,1
38480,7
1254,18
12883,56
31559,11
31629,56
6895,37
36548,1393
22,80
31374,10
856,28
35079,456
39539,11
39468,30
39523,439
5355,10
93,14
41930,132
5678,11
15605,112
37614,605
31174,1
23421,456
38297,1794
28621,56
23623,300
32526,14
37202,456
3958,56
17909,132
10271,11
33095,37
6802,56
29589,56
182,14
20709,1129
33003,456
8915,6
28391,3
3927,14
1132,18
40595,300
20457,1053
39324,1978
37403,51
400,14
2404,27
24873,51
38145,1379
147,24
37259,839
9331,7
32681,803
22777,18
20509,300
37446,1264
38787,957
33094,56
17741,3
2164,11
35843,1258
34494,132
34055,1237
21185,1
36838,1258
38830,118
2596,10
33337,11
4548,70
19363,56
20973,56
23311,569
25519,418
740,18
35889,41
40483,418
34102,287
7590,48
3467,51
16005,32
33421,1536
534,154
5507,56
3091,10
21563,112
31821,839
34825,101
19365,32
17831,3
7662,5
687,1
18,179
153,1
32271,179
3701,11
36049,200
3228,44
1281,1
114,10
41380,1978
135,1
532,18
5690,7
22547,3
35756,852
11837,73
166,3
4884,14
32245,132
24031,247
32494,569
160,48
26351,41
4477,7
5079,14
30485,300
37491,1258
38909,951
9479,309
40911,10
38959,1103
39456,1864
31630,56
32924,7
4581,6
132,37
969,5
27525,300
24277,73
3230,3
38924,1440
36704,2
6444,1
8426,1306
17827,346
38256,44
20431,858
18497,103
37989,1393
8536,91
21743,95
31098,569
24893,1023
37393,439
4551,8
15751,334
33012,91
37525,1692
28619,456
37956,346
30383,1087
34262,397
8476,7
1565,28
5941,118
10033,18
3972,36
165,4
32696,1129
390,126
4192,118
38328,1722
710,44
30230,10
8934,4
29787,314
29974,218
19291,28
34350,7
3297,34
31318,441
32673,839
37972,441
33377,73
31914,271
935,3
14921,132
11079,7
479,37
967,18
30091,300
250,18
2002,27
36754,3
16890,95
123,1
34620,91
15613,37
11751,41
80,14
198,3
33018,43
9981,14
12679,7
16355,418
33051,14
36864,96
12711,56
36316,456
53,7
7,14
65,70
272,5
14765,112
4720,35
32032,18
10447,41
379,7
21681,11
2216,11
37426,569
37806,1129
12461,37
36817,300
30806,601
25517,56
32491,839
1606,14
1498,86
369,11
40815,30
36124,37
1965,70
32083,95
30901,314
5342,35
7627,397
31706,300
251,37
33354,11
38940,1237
6974,56
122,37
1142,7
39199,569
29976,112
28833,94
34126,441
94,14
102,73
32607,51
31537,1893
76,35
11783,35
1239,18
3713,37
6377,44
31588,11
587,86
21177,41
15911,290
30127,1195
15059,118
20931,605
35821,51
39071,7
9776,418
5262,41
23209,1127
32936,1325
32981,309
1579,96
3299,218
34392,1340
19117,73
1250,27
288,11
31500,1053
33203,112
996,18
32595,397
15109,218
246,37
40532,132
37379,11
31109,37
32948,218
24211,406
12471,4
36653,2
529,3
34973,14
33985,1195
1088,103
2159,56
36317,276
5039,11
167,4
37920,1829
18295,14
22507,118
5150,7
658,11
9834,1
74,86
2986,88
3974,56
37823,3
31771,7
11021,41
3358,112
37926,300
2927,7
35828,441
22433,10
28,14
5671,3
35249,132
627,101
957,11
35983,605
33948,911
584,41
36652,1314
18767,346
37007,3
3420,7
196,39
325,126
17389,1
21845,91
39570,7
25867,858
10378,51
40392,1864
30895,132
28423,112
37447,1244
40128,35
32094,37
40397,95
31147,4
31592,28
3407,3
567,14
12815,1
9314,56
27663,1
38889,1471
31931,27
9065,37
19383,1169
14515,44
31430,333
35078,300
36510,1299
6774,18
2508,38
1412,65
36906,70
37522,1393
287,86
168,14
41312,1978
11739,7
2156,73
38619,911
12487,14
21437,14
1050,18
488,39
634,179
1589,455
30740,200
7588,32
27727,51
34525,1325
24629,44
3366,56
20555,314
859,18
31452,290
9107,28
156,11
28221,235
3594,314
10156,14
17082,839
24075,56
427,3
5420,10
24037,7
845,11
5034,6
32977,866
36902,1129
62,91
33089,1560
2130,11
338,65
873,5
32023,537
478,41
7079,48
2795,3
4726,3
18041,37
38161,10
13585,95
8917,41
1852,44
28791,56
3225,163
33023,95
27441,4
23269,418
58,48
411,88
31456,463
31804,290
10372,112
35434,1
343,44
6574,6
36828,41
2116,390
1860,83
10216,10
39355,456
21039,103
3001,94
34580,73
36884,4
962,34
40059,1393
12979,1
37716,839
32175,441
34034,28
953,4
35589,418
31433,10
23587,56
6586,1
109,3
696,48
31080,300
16385,35
37979,839
209,7
3613,10
35540,1835
28013,41
32608,112
5734,300
38476,1075
35427,318
7082,41
14355,441
16518,41
36245,1325
298,5
6634,10
21677,4
23121,91
5162,163
40359,95
19855,397
11697,247
34565,439
2985,11
1454,11
33573,27
535,154
36144,569
11227,27
31223,94
516,14
19319,14
31783,73
7661,37
40974,1264
35015,866
521,60
558,101
34547,569
880,48
5835,1
39388,95
77,35
6676,35
1293,1
5028,118
586,18
35503,290
2402,68
4151,5
34501,439
1569,91
35220,247
144,18
1842,101
38843,439
96,14
37221,1087
34148,1264
907,37
40513,14
1816,73
2369,218
15125,569
33222,1264
21167,418
38062,418
6758,287
12149,41
3841,11
33589,1569
238,1
490,44
8311,1
31790,1053
3231,8
33771,1547
100,34
18055,37
2158,122
31564,95
31848,1195
435,65
85,14
3359,37
1568,101
25859,1129
104,1
4879,11
32483,112
41783,1547
36934,287
37952,11
3226,118
5220,3
32664,400
40529,11
20053,38
9938,41
10507,28
33241,866
