id,naslov,sezona,zacetek,konec,vir,epizode,dolzina,stevilo_clenov,najljubsi,ocena,opis,oznaka
6702,Fairy Tail,Fall 2009,2009,2013,Manga,175,24 min. per ep.,1254179,45760,7.71,"In the mystical land of Fiore, magic exists as an essential part of everyday life. Countless magic guilds lie at the core of all magical activity, and serve as venues for like-minded mages to band tog...",PG-13
38000,Kimetsu no Yaiba,Spring 2019,2019,2019,Manga,26,23 min. per ep.,1235666,44349,8.65,"Ever since the death of his father, the burden of supporting the family has fallen upon Tanjirou Kamado&#039;s shoulders. Though living impoverished on a remote mountain, the Kamado family are able to enjo...",R
269,Bleach,Fall 2004,2004,2012,Manga,366,24 min. per ep.,1222959,52420,7.8,"Ichigo Kurosaki is an ordinary high schooler—until his family is attacked by a Hollow, a corrupt spirit that seeks to devour human souls. It is then that he meets a Soul Reaper named Rukia Kuchiki, wh...",PG-13
36456,Boku no Hero Academia 3rd Season,Spring 2018,2018,2018,Manga,25,23 min. per ep.,1220562,13090,8.3,"As summer arrives for the students at UA Academy, each of these superheroes-in-training puts in their best efforts to become renowned heroes. They head off to a forest training camp run by UA&#039;s pro he...",PG-13
2904,Code Geass: Hangyaku no Lelouch R2,Spring 2008,2008,2008,Original,25,24 min. per ep.,1206854,62031,8.91,"One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader,...",R
30831,Kono Subarashii Sekai ni Shukufuku wo!,Winter 2016,2016,2016,Light novel,10,23 min. per ep.,1198907,32985,8.16,"After dying a laughable and pathetic death on his way back from buying a game, high school student and recluse Kazuma Satou finds himself sitting before a beautiful but obnoxious goddess named Aqua. S...",PG-13
1,Cowboy Bebop,Spring 1998,1998,1999,Original,26,24 min. per ep.,1176190,59162,8.79,"In the year 2071, humanity has colonized several of the planets and moons of the solar system leaving the now uninhabitable surface of planet Earth behind. The Inter Solar System Police attempts to ke...",R
22535,Kiseijuu: Sei no Kakuritsu,Fall 2014,2014,2015,Manga,24,23 min. per ep.,1172868,25229,8.41,"All of a sudden, they arrived: parasitic aliens that descended upon Earth and quickly infiltrated humanity by burrowing into the brains of vulnerable targets. These insatiable beings acquire full cont...",R
3588,Soul Eater,Spring 2008,2008,2009,Manga,51,24 min. per ep.,1168461,23130,7.89,"Death City is home to the famous Death Weapon Meister Academy, a technical academy headed by the Shinigami—Lord Death himself. Its mission: to raise &quot;Death Scythes&quot; for the Shinigami to wield against...",PG-13
2001,Tengen Toppa Gurren Lagann,Spring 2007,2007,2007,Original,27,24 min. per ep.,1168282,66348,8.67,"Simon and Kamina were born and raised in a deep, underground village, hidden from the fabled surface. Kamina is a free-spirited loose cannon bent on making a name for himself, while Simon is a timid y...",PG-13
13601,Psycho-Pass,Fall 2012,2012,2013,Original,22,23 min. per ep.,1162866,33763,8.39,"Justice, and the enforcement of it, has changed. In the 22nd century, Japan enforces the Sibyl System, an objective means of determining the threat level of each citizen by examining their mental stat...",R
11111,Another,Winter 2012,2012,2012,Light novel,12,24 min. per ep.,1159794,15079,7.57,"In 1972, a popular student in Yomiyama North Middle School&#039;s class 3-3 named Misaki passed away during the school year. Since then, the town of Yomiyama has been shrouded by a fearful atmosphere, from...",R
24833,Ansatsu Kyoushitsu,Winter 2015,2015,2015,Manga,22,23 min. per ep.,1159105,20397,8.13,"When a mysterious creature chops the moon down to a permanent crescent, the students of class 3-E of Kunugigaoka Middle School find themselves confronted with an enormous task: assassinate the creatur...",PG-13
27899,Tokyo Ghoul √A,Winter 2015,2015,2015,Manga,12,24 min. per ep.,1156651,10574,7.09,"Ken Kaneki has finally come to accept the monstrous, flesh-craving part of himself that he has feared and despised for so long. After escaping captivity and torture, Kaneki joins Aogiri Tree—the very...",R
32182,Mob Psycho 100,Summer 2016,2016,2016,Web manga,12,24 min. per ep.,1156412,25598,8.49,Eighth-grader Shigeo &quot;Mob&quot; Kageyama has tapped into his inner wellspring of psychic prowess at a young age. But the power quickly proves to be a liability when he realizes the potential danger in his...,PG-13
226,Elfen Lied,Summer 2004,2004,2004,Manga,13,25 min. per ep.,1147146,23454,7.58,"Lucy is a special breed of human referred to as &quot;Diclonius,&quot; born with a short pair of horns and invisible telekinetic hands that lands her as a victim of inhumane scientific experimentation by the go...",R+
28223,Death Parade,Winter 2015,2015,2015,Original,12,23 min. per ep.,1134490,21064,8.21,"After death, there is no heaven or hell, only a bar that stands between reincarnation and oblivion. There the attendant will, one after another, challenge pairs of the recently deceased to a random ga...",R
121,Fullmetal Alchemist,Fall 2003,2003,2004,Manga,51,24 min. per ep.,1109876,26052,8.18,"Edward Elric, a young, brilliant alchemist, has lost much in his twelve-year life: when he and his brother Alphonse try to resurrect their dead mother through the forbidden act of human transmutation,...",PG-13
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Spring 2011,2011,2011,Original,11,22 min. per ep.,1092553,29464,8.44,"Jinta Yadomi is peacefully living as a recluse, spending his days away from school and playing video games at home instead. One hot summer day, his childhood friend, Meiko &quot;Menma&quot; Honma, appears and p...",PG-13
30,Neon Genesis Evangelion,Fall 1995,1995,1996,Original,26,24 min. per ep.,1079668,66826,8.31,"In the year 2015, the world stands on the brink of destruction. Humanity&#039;s last hope lies in the hands of Nerv, a special agency under the United Nations, and their Evangelions, giant machines capable...",PG-13
20583,Haikyuu!!,Spring 2014,2014,2014,Manga,25,24 min. per ep.,1072073,50537,8.56,"Inspired after watching a volleyball ace nicknamed &quot;Little Giant&quot; in action, small-statured Shouyou Hinata revives the volleyball club at his middle school. The newly-formed team even makes it to a to...",PG-13
6746,Durarara!!,Winter 2010,2010,2010,Light novel,24,24 min. per ep.,1067100,29306,8.19,"In Tokyo&#039;s downtown district of Ikebukuro, amidst many strange rumors and warnings of anonymous gangs and dangerous occupants, one urban legend stands out above the rest—the existence of a headless &quot;B...",R
2167,Clannad,Fall 2007,2007,2008,Visual novel,23,24 min. per ep.,1051129,26847,8.08,"Tomoya Okazaki is a delinquent who finds life dull and believes he&#039;ll never amount to anything. Along with his friend Youhei Sunohara, he skips school and plans to waste his high school days away. One...",PG-13
35760,Shingeki no Kyojin Season 3,Summer 2018,2018,2018,Manga,12,23 min. per ep.,1044111,11926,8.56,"Still threatened by the &quot;Titans&quot; that rob them of their freedom, mankind remains caged inside the two remaining walls. Efforts to eradicate these monsters continue; however, threats arise not only fro...",R
10087,Fate/Zero,Fall 2011,2011,2011,Light novel,13,28 min. per ep.,1037570,29280,8.35,"With the promise of granting any wish, the omnipotent Holy Grail triggered three wars in the past, each too cruel and fierce to leave a victor. In spite of that, the wealthy Einzbern family is confide...",R
