anime,zanr
272,manga
272,martial arts
272,shounen
272,super power
273,action
273,demon
273,fantasy
273,manga
273,shounen
273,super power
273,time travel
275,nudity
275,sex
275,action
275,adventure
275,fantasy
275,manga
275,military
275,mina
275,post-apocalyptic
275,science fiction
286,adventure
286,comedy
286,coming of age
286,daily life
286,fantasy
286,magic
286,mina
286,novel
286,romance
287,action
287,comedy
287,contemporary fantasy
287,fantasy
287,high school
287,incest
287,middle school
287,new
287,school life
287,shoujo
287,swordplay
287,thriller
287,tragedy
288,comedy
288,coming of age
288,daily life
288,love polygon
288,manga
288,romance
288,seinen
306,action
306,air force
306,anthropomorphism
306,military
306,mina
306,romance
312,action
312,contemporary fantasy
312,demon
312,fantasy
312,manga
312,martial arts
312,shounen
312,super power
312,violence
320,action
320,adventure
320,comedy
320,manga
320,seinen
321,action
321,fantasy
321,mecha
321,parallel world
321,steampunk
321,violence
326,action
326,genetic modification
326,mecha
326,new
326,piloted robot
326,post-apocalyptic
326,science fiction
326,shounen
331,action
331,adventure
331,android
331,fantasy
331,mecha
331,mina
331,new
331,science fiction
331,steampunk
331,sudden girlfriend appearance
333,daily life
333,josei
333,manga
334,anthropomorphism
334,fantasy
334,mina
336,comedy
336,coming of age
336,manga
336,romance
336,shoujo
349,action
349,comedy
349,fantasy
349,magic
349,novel
349,super power
350,action
350,comedy
350,fantasy
350,magic
350,novel
364,action
364,adventure
364,comedy
364,dragon
364,fantasy
364,magic
364,novel
364,swordplay
364,violence
367,action
367,comedy
367,martial arts
368,action
368,comedy
368,ecchi
368,martial arts
373,action
373,comedy
373,fantasy
373,magic
373,novel
373,super power
377,action
377,alien
377,comedy
377,daily life
377,high school
377,humanoid alien
377,manga
377,romance
377,science fiction
377,shounen
377,sudden girlfriend appearance
377,violent retribution for accidental infringement
397,nudity
397,sex
397,action
397,fantasy
397,manga
397,science fiction
397,shounen
397,super power
403,action
403,adventure
403,comedy
403,novel
403,science fiction
403,shounen
409,comedy
409,fantasy
409,love polygon
409,new
409,science fiction
411,action
411,adventure
411,comedy
411,fantasy
411,manga
411,new
411,shounen
411,super power
414,coming of age
414,daily life
414,erotic game
414,game
414,high school
414,school life
414,seinen
414,visual novel
422,action
422,Bakumatsu - Meiji Period
422,historical
422,manga
422,samurai
422,shounen
422,swordplay
437,action
437,adventure
437,comedy
437,fantasy
437,magic
437,novel
447,action
447,comedy
447,fantasy
447,magic
447,new
447,science fiction
447,seinen
447,virtual world
449,action
449,adventure
449,dystopia
449,fantasy
449,new
449,post-apocalyptic
449,seinen
449,tragedy
458,contemporary fantasy
458,daily life
458,fantasy
458,magic
458,manga
458,shounen
469,new
469,romance
469,science fiction
469,seinen
488,action
488,contemporary fantasy
488,demon
488,fantasy
488,large breasts
488,magic
488,manga
488,martial arts
488,shoujo
496,action
496,mecha
496,piloted robot
496,science fiction
513,action
513,comedy
513,contemporary fantasy
513,fantasy
513,magic
513,magical girl
513,manga
513,shoujo
514,action
514,comedy
514,contemporary fantasy
514,fantasy
514,magic
514,magical girl
514,romance
514,shoujo
518,action
518,action game
518,alien
518,daily life
518,dystopia
518,game
518,high school
518,mecha
518,military
518,piloted robot
518,romance
518,school life
518,science fiction
518,seinen
518,tragedy
548,action
548,fantasy
548,manga
548,martial arts
548,science fiction
548,shounen
548,super power
561,action
561,fantasy
561,game
561,new
561,proxy battles
561,shounen
570,action
570,daily life
570,historical
570,new
570,performance
570,romance
570,seinen
570,thriller
575,adventure
575,dystopia
575,fantasy
575,novel
575,science fiction
575,seinen
575,steampunk
575,the arts
581,action
581,air force
581,fantasy
581,military
581,new
581,science fiction
581,seinen
581,steampunk
590,action
590,basketball
590,comedy
590,high school
590,manga
590,school life
590,shounen
590,sports
621,action
621,angel
621,angst
621,comedy
621,coming of age
621,daily life
621,fantasy
621,love polygon
621,magic
621,manga
621,school life
621,shoujo
621,super power
625,action
625,high school
625,manga
625,motorsport
625,school life
625,seinen
625,sports
630,action
630,new
630,romance
630,science fiction
630,seinen
634,action
634,comedy
634,ecchi
634,manga
634,martial arts
634,seinen
634,shoujo ai
634,violence
635,comedy
635,coming of age
635,gymnastics
635,new
635,performance
635,shoujo
635,sports
640,action
640,fantasy
640,high fantasy
640,magic
640,novel
640,post-apocalyptic
640,science fiction
640,shounen
640,super power
640,swordplay
679,comedy
679,contemporary fantasy
679,fantasy
679,high school
679,kodomo
679,manga
679,mina
681,action
681,dark fantasy
681,demon
681,ecchi
681,fantasy
681,martial arts
681,ninja
681,samurai
681,seinen
681,swordplay
681,violence
715,action
715,angst
715,coming of age
715,mecha
715,military
715,new
715,piloted robot
715,science fiction
715,space travel
715,tragedy
715,transforming craft
751,comedy
751,ecchi
751,love polygon
751,romance
751,school life
751,seinen
751,sudden girlfriend appearance
762,action
762,fantasy
762,manga
762,martial arts
762,science fiction
762,shounen
762,super power
763,action
763,manga
763,science fiction
763,shounen
763,super power
777,action
777,comedy
777,conspiracy
777,cyberpunk
777,detective
777,law and order
777,mecha
777,new
777,piloted robot
777,police
777,science fiction
826,action
826,deity
826,fantasy
826,manga
826,martial arts
826,science fiction
826,shounen
826,super power
826,tragedy
826,violence
890,cyberpunk
890,cyborg
890,detective
890,human enhancement
890,law and order
890,manga
890,mecha
890,police
890,science fiction
890,seinen
890,virtual world
893,action
893,comedy
893,fantasy
893,manga
893,new
893,shounen
893,super power
895,angst
895,manga
895,science fiction
895,seinen
895,space travel
903,action
903,comedy
903,demon
903,fantasy
903,magic
903,manga
903,shounen
904,action
904,android
904,angst
904,conspiracy
904,detective
904,dieselpunk
904,dystopia
904,mecha
904,new
904,parody
904,piloted robot
904,post-apocalyptic
904,science fiction
905,action
905,manga
905,shounen
905,super power
906,manga
906,shounen
906,super power
909,action
909,new
909,science fiction
909,steampunk
959,action
959,comedy
959,high school
959,novel
959,school life
959,seinen
990,action
990,game
990,proxy battles
990,RPG
990,shounen
1002,action
1002,cyborg
1002,gunfights
1002,human enhancement
1002,manga
1002,science fiction
1002,seinen
1002,tragedy
1002,violence
1003,action
1003,action game
1003,contemporary fantasy
1003,dystopia
1003,game
1003,gunfights
1003,mafia
1003,rotten world
1003,science fiction
1003,seinen
1003,super power
1003,tragedy
1003,violence
1022,action
1022,dystopia
1022,love polygon
1022,post-apocalyptic
1022,science fiction
1043,action
1043,fantasy
1043,manga
1043,science fiction
1043,shounen
1043,super power
1044,action
1044,fantasy
1044,manga
1044,science fiction
1044,shounen
1044,super power
1045,action
1045,alien
1045,fantasy
1045,manga
1045,martial arts
1045,science fiction
1045,shounen
1045,super power
1046,nudity
1046,sex
1046,action
1046,fantasy
1046,manga
1046,science fiction
1046,shounen
1046,super power
1052,nudity
1052,sex
1052,action
1052,comedy
1052,contemporary fantasy
1052,demon
1052,fantasy
1052,gunfights
1052,manga
1052,shounen
1056,action
1056,Bakumatsu - Meiji Period
1056,comedy
1056,historical
1056,manga
1056,samurai
1056,shounen
1056,swordplay
1056,violence
1057,comedy
1057,ecchi
1057,fantasy
1057,harem
1057,large breasts
1057,love polygon
1057,magic
1057,novel
1057,school life
1057,seinen
1057,sudden girlfriend appearance
1059,daily life
1059,harem
1059,manga
1059,romance
1059,seinen
1069,nudity
1069,sex
1069,action
1069,fantasy
1069,manga
1069,science fiction
1069,shounen
1069,super power
1070,action
1070,fantasy
1070,manga
1070,science fiction
1070,shounen
1070,super power
1071,action
1071,fantasy
1071,manga
1071,science fiction
1071,shounen
1071,super power
1099,action
1099,comedy
1099,half-length episodes
1099,high school
1099,manga
1099,parody
1099,school life
1099,shounen
1153,alien
1153,humanoid alien
1153,mina
1153,music
1153,musical band
1153,science fiction
1176,action
1176,android
1176,cyberpunk
1176,cyborg
1176,detective
1176,gunfights
1176,human enhancement
1176,law and order
1176,manga
1176,mecha
1176,military
1176,police
1176,science fiction
1176,seinen
1208,action
1208,game
1208,martial arts
1208,RPG
1208,seinen
1208,swordplay
1217,adventure
1217,comedy
1217,new
1217,seinen
1217,tragedy
1218,air force
1218,demon
1218,fantasy
1218,magic
1218,mina
1218,novel
1218,romance
1218,steampunk
1253,adventure
1253,comedy
1253,fantasy
1253,manga
1253,shounen
1253,super power
1254,action
1254,adventure
1254,fantasy
1254,manga
1254,military
1254,new
1254,shounen
1254,super power
1297,coming of age
1297,daily life
1297,high school
1297,novel
1297,school life
1297,shoujo
1312,action
1312,cyborg
1312,gunfights
1312,human enhancement
1312,manga
1312,mecha
1312,piloted robot
1312,post-apocalyptic
1312,power suit
1312,science fiction
1312,seinen
1320,action
1320,comedy
1320,demon
1320,fantasy
1320,magic
1320,manga
1320,shounen
1320,time travel
1456,action
1456,adventure
1456,manga
1456,martial arts
1456,ninja
1456,shounen
1456,super power
1523,action
1523,adventure
1523,comedy
1523,fantasy
1523,game
1523,magic
1523,manhwa
1523,RPG
1523,shounen
1523,swordplay
1530,action
1530,alien
1530,comedy
1530,fantasy
1530,humanoid alien
1530,manga
1530,martial arts
1530,shounen
1530,super power
1542,action
1542,angel
1542,fantasy
1542,martial arts
1542,mecha
1542,movie
1542,samurai
1542,science fiction
1542,swordplay
1607,action
1607,adventure
1607,fantasy
1607,magic
1607,new
1607,parallel world
1607,short episodes
1641,action
1641,comedy
1641,mecha
1641,military
1641,new
1641,piloted robot
1641,science fiction
1648,coming of age
1648,high school
1648,manga
1648,romance
1648,school life
1648,shoujo
1654,action
1654,gunfights
1654,military
1654,new
1654,rotten world
1663,action
1663,adventure
1663,historical
1663,manga
1663,martial arts
1663,romance
1663,samurai
1663,seinen
1663,swordplay
1677,nudity
1677,sex
1677,action
1677,bishounen
1677,fantasy
1677,novel
1677,parallel world
1677,shoujo
1677,swordplay
1724,action
1724,manga
1724,motorsport
1724,seinen
1724,sports
1769,comedy
1769,manga
1769,ninja
1769,parody
1769,seinen
1783,comedy
1783,daily life
1783,manga
1783,parody
1783,school clubs
1783,school life
1783,seinen
1783,university
1868,conspiracy
1868,novel
1868,thriller
1958,novel
1958,samurai
1958,seinen
1958,violence
2002,erotic game
2002,fantasy
2002,game
2002,romance
2002,seinen
2002,tragedy
2002,visual novel
2025,coming of age
2025,daily life
2025,high school
2025,novel
2025,school life
2025,shoujo
2036,nudity
2036,sex
2036,action
2036,adventure
2036,comedy
2036,fantasy
2036,manga
2036,new
2036,shounen
2036,swordplay
2061,action
2061,adventure
2061,manga
2061,proxy battles
2061,shounen
2061,virtual world
2142,action
2142,angst
2142,contemporary fantasy
2142,deity
2142,fantasy
2142,manga
2142,mecha
2142,piloted robot
2142,romance
2142,school life
2142,science fiction
2142,shoujo ai
2142,shounen
2142,tragedy
2162,comedy
2162,harem
2162,manga
2162,middle school
2162,school life
2165,comedy
2165,daily life
2165,high school
2165,love polygon
2165,manga
2165,parody
2165,romance
2165,school life
2165,shounen
2168,baseball
2168,coming of age
2168,manga
2168,shounen
2168,sports
2178,demon
2178,horror
2178,mecha
2178,new
2178,science fiction
2178,short movie
2183,nudity
2183,sex
2183,action
2183,adventure
2183,comedy
2183,contemporary fantasy
2183,fantasy
2183,gunfights
2183,manga
2183,romance
2183,shounen
2183,super power
2185,action
2185,adventure
2185,historical
2185,martial arts
2185,new
2185,samurai
2185,swordplay
2185,violence
2186,action
2186,angst
2186,human enhancement
2186,mecha
2186,military
2186,new
2186,piloted robot
2186,science fiction
2186,shounen
2186,space travel
2189,contemporary fantasy
2189,fantasy
2189,new
2189,seinen
2321,action
